,URL,GAB TEXT,GOOD AND BAD,member
0,https://money777.info,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
1,https://pokermoney.me,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
2,https://sites.google.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
3,https://netmarblegood-mn.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
4,https://nmb-exchange.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
5,https://winjoymoney.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
6,https://swap-nph.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
7,https://net-marble.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
8,https://game-money.net,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
9,https://www.tumblr.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,member
10,https://www.wattpad.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
11,https://www.pinterest.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
12,https://netmarblegold.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
13,https://netmoneyshop.com,사용 가능한 URL 입니다.,GOOD,not member
14,https://www.youtube.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,member
15,https://io22jjww24.wixsite.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
16,https://www.jobbank.gc.ca,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
17,https://www.flickr.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
18,https://activistasporelclima.tumblr.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,member
19,https://coldearthquakedonut-blog.tumblr.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,member
20,https://rafaelb9l0m.onzeblog.com,사용 가능한 URL 입니다.,GOOD,not member
21,https://pmangyes.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
22,https://mobile.twitter.com,"트위터, 인스타, 페북은 신고대상이 SNS계정 사이트·게시물로 신고됩니다.",BAD,member
23,https://winjoy-money.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
24,https://cocoinin104.weebly.com,사용 가능한 URL 입니다.,GOOD,not member
25,https://twitter.com,"트위터, 인스타, 페북은 신고대상이 SNS계정 사이트·게시물로 신고됩니다.",BAD,member
26,https://www.picuki.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
27,https://www.synonyms.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
28,https://netmalrble-money.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
29,https://2y1e8ag02a.tistory.com,사용 가능한 URL 입니다.,GOOD,member
30,https://www.tumgir.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
31,https://5f280072685e9.site123.me,사용 가능한 URL 입니다.,GOOD,not member
32,https://vk.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
33,http://bfmr.busan.com,사용 가능한 URL 입니다.,GOOD,not member
34,https://pmang.me,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
35,https://m.blog.naver.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
36,https://yellow.place,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
37,https://nesmabeulmeonisang.tistory.com,사용 가능한 URL 입니다.,GOOD,member
38,http://damien17s37.blue-blogs.com,사용 가능한 URL 입니다.,GOOD,not member
39,https://marble-gm.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
40,https://vimeo.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
41,http://dallas8246u.win-blog.com,사용 가능한 URL 입니다.,GOOD,not member
42,https://poke-change.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
43,https://id.pinterest.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
