,URL,GAB TEXT,GOOD AND BAD,member
0,https://money777.info,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
1,https://pokermoney.me,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
2,https://gamemoney.info,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
3,https://sites.google.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
4,https://pmangyes.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
5,http://www.himpel.co.kr,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
6,https://kr.linkedin.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
7,https://namicollectorcoffee14-blog.tumblr.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,member
8,https://www.fnnews.com,사용 가능한 URL 입니다.,GOOD,not member
9,http://dongjinfa.co.kr,사용 가능한 URL 입니다.,GOOD,not member
10,http://www.dongjinfa.co.kr,사용 가능한 URL 입니다.,GOOD,not member
11,https://pmang.me,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
12,https://global.guka.co.kr,사용 가능한 URL 입니다.,GOOD,not member
13,http://gaialove.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
14,https://www.tumblr.com,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,member
15,https://www.pinterest.es,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
16,http://www.nice495.com,사용 가능한 URL 입니다.,GOOD,not member
17,https://0fpb4d.tumblr.com,사용 가능한 URL 입니다.,GOOD,member
18,https://m.hangame.com,사용 가능한 URL 입니다.,GOOD,not member
19,https://www.pinterest.co.uk,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오.",BAD,not member
