N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"67,900",100,-0.15%,100,"4,053,482","5,969,783",50.75,"13,610,084",10.66,13.92
2,LG에너지솔루션,"438,000","4,000",+0.92%,500,"1,024,920","234,000",3.12,"360,353",139.58,10.68
3,SK하이닉스,"113,000",500,+0.44%,"5,000","822,643","728,002",49.71,"3,137,974",7.77,16.84
4,삼성바이오로직스,"819,000","11,000",+1.36%,"2,500","582,915","71,174",10.35,"34,344",114.35,8.21
5,삼성전자우,"60,100",600,-0.99%,100,"494,555","822,887",72.33,"940,848",9.43,N/A
6,NAVER,"277,500","2,500",+0.91%,100,"455,236","164,049",53.76,"316,134",33.74,106.72
7,삼성SDI,"611,000","6,000",+0.99%,"5,000","420,151","68,765",43.26,"212,523",30.89,8.45
8,현대차,"188,000","1,500",+0.80%,"5,000","401,696","213,668",26.85,"433,921",10.01,6.84
9,LG화학,"543,000","2,000",-0.37%,"5,000","383,316","70,592",48.12,"269,593",13.93,18.47
10,카카오,"82,900",100,-0.12%,100,"368,149","444,088",28.58,"929,539",14.94,17.10
11,기아,"84,200",300,+0.36%,"5,000","341,316","405,363",36.03,"748,151",7.17,14.69
12,POSCO홀딩스,"292,500","1,000",+0.34%,"5,000","255,021","87,187",53.14,"187,954",3.49,13.97
13,KB금융,"58,300",500,+0.87%,"5,000","240,402","412,352",72.90,"922,624",5.50,9.80
14,삼성물산,"117,500","1,000",+0.86%,100,"219,592","186,887",15.92,"159,273",16.71,5.40
15,신한지주,"41,600",100,-0.24%,"5,000","213,381","512,934",62.57,"907,394",5.53,8.80
16,셀트리온,"147,000","2,000",+1.38%,"1,000","206,929","140,768",19.57,"502,153",41.35,15.81
17,SK이노베이션,"209,000","2,000",-0.95%,"5,000","193,253","92,466",24.32,"218,618",13.28,1.91
18,현대모비스,"203,000",500,+0.25%,"5,000","191,983","94,573",34.10,"132,139",8.46,6.87
19,카카오뱅크,"40,000",50,+0.13%,"5,000","190,503","476,256",15.10,"644,654",85.65,4.91
20,SK,"246,000","2,500",-1.01%,200,"182,407","74,149",21.55,"114,650",6.00,10.19
21,LG전자,"105,000",500,+0.48%,"5,000","171,830","163,648",27.06,"681,244",15.07,6.32
22,HMM,"31,650","1,500",+4.98%,"5,000","154,781","489,039",9.77,"5,685,875",1.62,88.62
23,한국전력,"22,700",50,-0.22%,"5,000","145,726","641,964",14.64,"604,459",-1.28,-7.99
24,하나금융지주,"47,400",450,+0.96%,"5,000","140,258","295,903",72.61,"966,206",4.04,10.86
25,삼성생명,"67,000",100,+0.15%,500,"134,000","200,000",12.97,"182,601",9.12,4.01
26,두산에너빌리티,"20,400",200,-0.97%,"5,000","128,972","632,215",9.68,"6,181,519",30.58,10.67
27,카카오페이,"95,600","1,000",+1.06%,500,"126,652","132,481",42.52,"204,753",-482.83,-2.45
28,크래프톤,"256,500",500,+0.20%,100,"125,870","49,072",28.89,"118,205",21.10,17.86
