N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"67,400",700,-1.03%,100,"4,023,633","5,969,783",50.77,"10,617,512",10.58,13.92
2,LG에너지솔루션,"414,000","4,000",+0.98%,500,"968,760","234,000",2.99,"185,557",104.47,10.68
3,SK하이닉스,"112,000","1,500",-1.32%,"5,000","815,363","728,002",49.72,"2,524,307",8.49,16.84
4,삼성바이오로직스,"794,000","1,000",+0.13%,"2,500","565,122","71,174",10.34,"24,602",135.08,8.21
5,삼성전자우,"60,500",100,-0.17%,100,"497,846","822,887",72.32,"664,492",9.49,N/A
6,NAVER,"272,500","4,000",-1.45%,100,"447,034","164,049",53.73,"372,424",33.13,106.72
7,삼성SDI,"594,000","9,000",-1.49%,"5,000","408,461","68,765",43.23,"115,531",35.74,8.45
8,현대차,"183,000","2,500",-1.35%,"5,000","391,013","213,668",26.87,"351,970",10.25,6.84
9,카카오,"80,800","1,800",-2.18%,100,"358,823","444,088",28.53,"987,623",25.80,17.10
10,LG화학,"506,000","6,000",-1.17%,"5,000","357,197","70,592",48.12,"126,104",10.79,18.47
11,기아,"82,500","2,000",-2.37%,"5,000","334,425","405,363",36.00,"805,507",7.02,14.69
12,POSCO홀딩스,"284,000","4,000",-1.39%,"5,000","247,611","87,187",53.05,"151,770",3.74,13.97
13,KB금융,"56,300","1,700",-2.93%,"5,000","232,154","412,352",72.87,"937,799",5.31,9.80
14,삼성물산,"117,000","1,000",+0.86%,100,"218,658","186,887",15.92,"173,682",13.49,5.40
15,신한지주,"40,800","1,250",-2.97%,"5,000","209,277","512,934",62.67,"1,032,908",5.42,8.80
16,셀트리온,"141,000","1,500",-1.05%,"1,000","198,483","140,768",19.55,"312,843",34.47,15.81
17,SK이노베이션,"205,000","3,000",-1.44%,"5,000","189,554","92,466",24.19,"122,500",13.03,1.91
18,현대모비스,"196,000","5,500",-2.73%,"5,000","185,363","94,573",34.07,"142,310",7.90,6.87
19,SK,"247,500",500,-0.20%,200,"183,520","74,149",21.51,"81,983",8.95,10.19
20,카카오뱅크,"38,450",950,-2.41%,"5,000","183,098","476,196",15.15,"736,980",82.33,4.91
21,LG전자,"101,500","5,500",-5.14%,"5,000","166,103","163,648",27.23,"1,306,237",14.57,6.32
22,한국전력,"22,700",150,+0.67%,"5,000","145,726","641,964",14.68,"958,951",-2.74,-7.99
23,HMM,"28,850",650,-2.20%,"5,000","141,088","489,039",9.70,"2,727,154",1.48,88.62
24,하나금융지주,"45,150","1,050",-2.27%,"5,000","133,600","295,903",72.42,"721,089",3.84,10.86
25,삼성생명,"66,100",800,-1.20%,500,"132,200","200,000",12.93,"164,913",9.00,4.01
26,SK텔레콤,"57,900",900,-1.53%,100,"126,704","218,833",48.67,"516,597",8.61,13.63
27,두산에너빌리티,"19,850",0,0.00%,"5,000","125,466","632,072",9.61,"2,477,721",19.35,10.67
28,S-Oil,"108,000","2,000",-1.82%,"2,500","121,589","112,583",80.97,"182,169",9.14,21.76
29,삼성전기,"158,000","3,000",-1.86%,"5,000","118,016","74,694",27.53,"242,012",13.74,14.29
30,LG,"75,000",200,-0.27%,"5,000","117,976","157,301",36.68,"172,358",4.84,12.36
31,카카오페이,"88,900",300,-0.34%,500,"117,776","132,481",42.50,"198,515",-448.99,-2.45
32,크래프톤,"239,000","8,500",-3.43%,100,"117,282","49,072",28.75,"145,346",19.66,17.86
33,KT&G,"84,300",100,+0.12%,"5,000","115,738","137,292",38.40,"237,982",11.84,10.74
34,삼성에스디에스,"148,000","3,000",+2.07%,500,"114,519","77,378",12.91,"125,187",18.74,8.80
35,고려아연,"566,000","9,000",+1.62%,"5,000","106,804","18,870",20.00,"32,169",14.14,11.07
36,LG생활건강,"673,000","4,000",-0.59%,"5,000","105,110","15,618",37.23,"69,995",14.12,16.65
37,우리금융지주,"14,050",850,-5.70%,"5,000","102,292","728,061",37.82,"7,249,380",3.93,10.59
38,현대중공업,"114,000","3,000",-2.56%,"5,000","101,201","88,773",5.97,"448,689",-9.24,-14.87
39,대한항공,"28,800",650,-2.21%,"5,000","100,172","347,821",13.38,"754,501",8.63,11.60
40,포스코케미칼,"126,500","2,500",+2.02%,500,"97,991","77,463",6.35,"226,894",71.75,7.92
41,엔씨소프트,"431,500","4,000",-0.92%,500,"94,732","21,954",42.21,"63,119",19.54,12.62
42,KT,"36,200",50,-0.14%,"5,000","94,522","261,112",42.72,"707,111",6.97,9.36
43,삼성화재,"199,500","2,000",-0.99%,500,"94,513","47,375",49.30,"47,595",8.99,7.09
44,SK바이오사이언스,"122,500","2,500",-2.00%,500,"94,060","76,784",4.35,"156,356",27.48,38.08
45,하이브,"219,000","1,000",-0.45%,500,"90,564","41,353",15.34,"93,471",60.73,6.83
46,아모레퍼시픽,"153,500","2,500",-1.60%,500,"89,786","58,493",26.16,"180,663",54.70,4.20
47,SK아이이테크놀로지,"119,500",500,-0.42%,"1,000","85,201","71,298",9.52,"123,576",109.73,5.57
48,기업은행,"10,900",150,-1.36%,"5,000","81,129","744,301",14.70,"874,317",3.59,9.21
49,LG이노텍,"342,500","9,500",-2.70%,"5,000","81,060","23,667",24.94,"150,053",9.13,30.94
50,현대글로비스,"204,000","5,500",-2.63%,500,"76,500","37,500",44.74,"89,898",9.77,14.41
51,SK바이오팜,"87,000","1,100",-1.25%,500,"68,133","78,313",6.06,"46,499",105.07,15.75
52,롯데케미칼,"196,500","1,500",+0.77%,"5,000","67,351","34,275",24.38,"62,647",5.01,9.87
53,넷마블,"77,300",700,+0.91%,100,"66,442","85,954",22.74,"156,094",47.19,4.29
54,SK스퀘어,"44,750",250,-0.56%,100,"63,307","141,468",40.01,"313,677",2.77,N/A
55,한국조선해양,"86,800","1,800",-2.03%,"5,000","61,431","70,773",20.56,"128,044",-6.61,-8.95
56,LG디스플레이,"16,800",500,-2.89%,"5,000","60,113","357,816",16.34,"1,358,635",6.14,9.68
57,CJ제일제당,"399,000","8,500",-2.09%,"5,000","60,066","15,054",22.68,"32,947",10.11,10.76
58,한화솔루션,"31,200",50,+0.16%,"5,000","59,679","191,278",18.27,"956,334",9.44,8.79
59,SKC,"152,500","4,500",+3.04%,"5,000","57,749","37,868",14.78,"224,207",26.15,11.60
60,LG유플러스,"13,150",50,+0.38%,"5,000","57,414","436,611",37.56,"585,233",8.06,9.47
61,강원랜드,"26,750",450,-1.65%,500,"57,229","213,940",19.72,"367,998",-545.92,-0.33
62,한온시스템,"10,700",200,-1.83%,100,"57,117","533,800",17.27,"360,087",18.51,13.83
63,맥쿼리인프라,"13,950",50,-0.36%,0,"56,476","404,846",14.79,"324,828",N/A,N/A
64,현대제철,"39,650",550,-1.37%,"5,000","52,911","133,446",20.49,"279,748",3.62,8.54
65,코웨이,"70,700","1,800",-2.48%,500,"52,176","73,800",61.28,"93,121",11.20,27.41
66,F&F,"136,000","6,000",-4.23%,100,"52,098","38,307",13.49,"124,243",14.95,N/A
67,에스디바이오센서,"48,300",300,+0.63%,500,"49,880","103,271",12.94,"121,263",4.45,72.47
68,KODEX 200,"34,430",440,-1.26%,0,"48,443","140,700",2.53,"2,408,064",N/A,N/A
69,HD현대,"61,200",200,-0.33%,"1,000","48,344","78,993",16.18,"171,452",-36.54,-1.99
70,삼성중공업,"5,470",80,-1.44%,"1,000","48,136","880,000",14.47,"3,208,182",-2.66,-36.89
